Coin;Name; Price ;Amount;Total value;Portfolio %; Buy price ; Value (1/1/2018) ;Profit;Exchange;Prediction;Predicted value;Amount 01/01/2017;Value 01/01/2017;Total 01/01/2017;;;;;;;
BTC;Bitcoin; $8.164,040 ;1; $8.164,04 ;20%; $8.164,040 ; $8.164,04 ;0%;Wallet; $20.000,00 ; $20.000,00 ;3,45;$1.000,00;$3.450,00;;;;;;;
BTC;Bitcoin; $8.164,040 ;1,6; $13.062,46 ;31%; $11.239,000 ; $17.982,40 ;-27%;Wallet; $20.000,00 ; $32.000,00 ;0;;;;;;;;;
BTC;Bitcoin; $8.164,040 ;0,422; $3.445,22 ;8%; $10.712,000 ; $4.520,46 ;-24%;Wallet; $20.000,00 ; $8.440,00 ;0;;;;;;;;;
SC;SIA; $0,010 ;2500; $25,00 ;0%; $0,010 ; $0,106 ;0%;Wallet; $0,07 ; $175,00 ;0;;;;;;;;;
ETHOS;Ethos; $1,070 ;234; $250,38 ;1%; $2,260 ; $528,84 ;-53%;Wallet; $7,00 ; $1.638,00 ;0;;;;;;;;;
ETHOS;Ethos; $1,070 ;117; $125,19 ;0%; $9,30 ; $1.088,10 ;-88%;wallet; $7,00 ; $819,00 ;0;;;;;;;;;
ETHOS;Ethos; $1,070 ;60; $64,20 ;0%; $9,23 ; $553,80 ;-88%;Wallet; $7,00 ; $420,00 ;0;;;;;;;;;
ETHOS;Ethos; $1,070 ;107; $114,49 ;0%; $3,95 ; $422,65 ;-73%;Wallet; $7,00 ; $749,00 ;0;;;;;;;;;
ETHOS;Ethos; $1,070 ;73; $78,11 ;0%; $1,26 ; $91,98 ;-15%;; $7,00 ; $511,00 ;0;;;;;;;;;
ADA;Cardano; $0,160 ;1323; $211,68 ;1%; $0,540 ; $714,42 ;-70%;Daedalus; $1,00 ; $1.323,00 ;0;;;;;;;;;
ADA;Cardano; $0,160 ;10000; $1.600,00 ;4%; $0,390 ; $3.900,00 ;-59%;Daedalus; $1,00 ; $10.000,00 ;0;;;;;;;;;
ADA;Cardano; $0,160 ;157; $25,12 ;0%; $0,690 ; $108,33 ;-77%;Daedalus; $1,00 ; $157,00 ;0;;;;;;;;;
ADA;Cardano; $0,160 ;846; $135,36 ;0%; $0,730 ; $617,58 ;-78%;Daedalus; $1,00 ; $846,00 ;0;;;;;;;;;
ADA;Cardano; $0,160 ;411; $65,76 ;0%; $0,930 ; $382,23 ;-83%;Daedalus; $1,00 ; $411,00 ;0;;;;;;;;;
